F9-011;11;5 August 2014 08:00;F9 v1.1  B1008;Cape Canaveral , SLC‑40;AsiaSat 8;4,535 kg (9,998 lb);GTO;AsiaSat;Success;No attempt;First time SpaceX managed a launch site turnaround between two flights of under a month (22 days). GTO launch of the large communication satellite from Hong Kong did not allow for propulsive return-over-water and controlled splashdown of the first stage.;
F9-012;12;7 September 2014 05:00;F9 v1.1  B1011;Cape Canaveral , SLC‑40;AsiaSat 6;4,428 kg (9,762 lb);GTO;AsiaSat;Success;No attempt;Launch was delayed for two weeks for additional verifications after a malfunction observed in the development of the  F9R Dev1 prototype. GTO launch of the heavy payload did not allow for controlled splashdown.;
F9-013;13;21 September 2014 05:52;F9 v1.1  B1010;Cape Canaveral , SLC‑40;SpaceX CRS-4 ( Dragon C106 .1);2,216 kg (4,885 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Failure (ocean);Fourth attempt of a soft ocean touchdown, but the booster ran out of liquid oxygen. Detailed thermal imaging infrared sensor data was collected however by NASA, as part of a joint arrangement with SpaceX as part of research on retropropulsive deceleration technologies for developing new approaches to Martian atmospheric entry .;
F9-014;14;10 January 2015 09:47;F9 v1.1  B1012;Cape Canaveral , SLC‑40;SpaceX CRS-5 (Dragon C107);2,395 kg (5,280 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Failure (drone ship);Following second-stage separation, SpaceX attempted to  return the first stage for the first time to a 90 m × 50 m (300 ft × 160 ft) floating platform — called the autonomous spaceport drone ship . The test achieved many objectives and returned a large amount of data, but the grid-fin control surfaces used for the first time for more precise reentry positioning ran out of hydraulic fluid for its control system a minute before landing, resulting in a landing crash.;
F9-015;15;11 February 2015 23:03;F9 v1.1  B1013;Cape Canaveral , SLC‑40;DSCOVR;570 kg (1,260 lb);Sun–Earth L 1 insertion;USAF  NASA  NOAA;Success;Controlled (ocean);First launch under USAF's  OSP 3 launch contract. First SpaceX launch to put a satellite beyond a geostationary transfer orbit, first SpaceX launch into interplanetary space, and first SpaceX launch of an American research satellite. The first stage made a test flight descent to an over-ocean landing within 10 m (33 ft) of its intended target. The satellite launched into a 187 km x 1,241,000 km insertion orbit toward the Sun-Earth L 1 point.;
F9-016;16;2 March 2015 03:50;F9 v1.1  B1014;Cape Canaveral , SLC‑40;ABS-3A  Eutelsat 115 West B;4,159 kg (9,169 lb);GTO;ABS  Eutelsat;Success;No attempt;The launch was Boeing's first conjoined launch of a  lighter-weight dual-commsat stack that was specifically designed to take advantage of the lower-cost SpaceX Falcon 9 launch vehicle. Per satellite, launch costs were less than US$30 million. The ABS satellite reached its final destination ahead of schedule and started operations on 10 September 2015.;
F9-017;17;14 April 2015 20:10;F9 v1.1  B1015;Cape Canaveral , SLC‑40;SpaceX CRS-6 (Dragon C108.1 );1,898 kg (4,184 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Failure (drone ship);After second-stage separation, a controlled-descent test was attempted with the first stage. After the booster contacted the ship, it tipped over due to excess lateral velocity caused by a stuck throttle valve that delayed downthrottle at the correct time.;
F9-018;18;27 April 2015 23:03;F9 v1.1  B1016;Cape Canaveral , SLC‑40;TürkmenÄlem 52°E / MonacoSAT;4,707 kg (10,377 lb);GTO;Turkmenistan National Space Agency;Success;No attempt;Original intended launch was delayed over a month after an issue with the helium pressurisation system was identified on similar parts in the assembly plant. Subsequent launch successfully positioned this first Turkmen satellite at 52.0° east.;
F9-019;19;28 June 2015 14:21;F9 v1.1  B1018;Cape Canaveral , SLC‑40;SpaceX CRS-7 (Dragon C109);1,952 kg (4,303 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Failure (in flight);Precluded (drone ship);Launch performance was nominal until an overpressure incident in the second-stage  LOX tank, leading to vehicle breakup at T+150 seconds. Dragon capsule survived the explosion but was lost upon splashdown as its software did not contain provisions for parachute deployment on launch vehicle failure. ( more details ) The drone ship Of Course I Still Love You was towed out to sea to prepare for a landing test so this mission was its first operational assignment.;
F9-020;20;22 December 2015 01:29;F9 FT  B1019;Cape Canaveral , SLC‑40;Orbcomm-OG2 -2 (11 satellites);2,034 kg (4,484 lb);LEO;Orbcomm;Success;Success (ground pad);Payload included eleven satellites weighing 172 kg (379 lb) each, and a 142 kg (313 lb) mass simulator. First launch of the upgraded v1.1 version, with a 30% power increase. Orbcomm had originally agreed to be the third flight of the enhanced-thrust rocket, but the change to the maiden flight position was announced in October 2015. SpaceX received a permit from the FAA to land the booster on solid ground at SpaceX Landing Zone 1 at Cape Canaveral and succeeded for the first time ever in its history on this maiden ground landing attempt. This booster, serial number B1019 , is now on permanent display outside SpaceX's headquarters in Hawthorne, California , at the intersection of Crenshaw Boulevard and Jack Northrop Avenue.  ( more details );
F9-021;21;17 January 2016 18:42;F9 v1.1  B1017;Vandenberg , SLC‑4E;Jason-3;553 kg (1,219 lb);LEO;NASA ( LSP )  NOAA  CNES;Success;Failure (drone ship);First launch of NASA and NOAA joint science mission under the  NLS II launch contract (not related to NASA CRS or USAF OSP3 contracts) and last launch of the Falcon 9 v1.1 launch vehicle. The Jason-3 satellite was successfully deployed to target orbit. SpaceX attempted for the first time to recover the first-stage booster on its new Pacific autonomous drone ship, but after a soft landing on the ship, the lockout on one of the landing legs failed to latch and the booster fell over and exploded.;
F9-022;22;4 March 2016 23:35;F9 FT  B1020;Cape Canaveral , SLC‑40;SES-9;5,271 kg (11,621 lb);GTO;SES;Success;Failure (drone ship);Second launch of the enhanced  Falcon 9 Full Thrust launch vehicle. SpaceX attempted for the first time to recover a booster from a GTO launch to a drone ship . Successful landing was not expected due to low fuel reserves and the booster "landed hard". But the controlled-descent, atmospheric re-entry and navigation to the drone ship were successful and returned significant test data on bringing back high-energy Falcon 9 boosters.;
F9-023;23;8 April 2016 20:43;F9 FT  B1021.1;Cape Canaveral , SLC‑40;SpaceX CRS-8 (Dragon C110.1);3,136 kg (6,914 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Success (drone ship);Dragon carried over 1,500 kg (3,300 lb) of supplies and delivered the inflatable  Bigelow Expandable Activity Module (BEAM) to the ISS for two years of in-orbit tests. The rocket's first stage landed smoothly on SpaceX's autonomous spaceport drone ship at 9 minutes after liftoff, making this the first successful landing of a rocket booster on a ship at sea from an orbital launch. The first stage B1021 later became the first orbital booster to be reused when it launched SES-10 on 30 March 2017. A month later, the Dragon spacecraft returned a downmass containing astronaut's Scott Kelly biological samples from his year-long mission on ISS. ( more details );
F9-024;24;6 May 2016 05:21;F9 FT  B1022;Cape Canaveral , SLC‑40;JCSAT-14;4,696 kg (10,353 lb);GTO;SKY Perfect JSAT Group;Success;Success (drone ship);First time SpaceX launched a Japanese satellite, and first time a booster landed successfully after launching a payload into a GTO. As this flight profile has a smaller margin for the booster recovery, the first stage re-entered Earth's atmosphere faster than for previous landings, with five times the heating power.;
F9-025;25;27 May 2016 21:39;F9 FT  B1023.1;Cape Canaveral , SLC‑40;Thaicom 8;3,100 kg (6,800 lb);GTO;Thaicom;Success;Success (drone ship);Second successful return from a GTO launch, after launching Thaicom 8 towards 78.5° east . Later became the first booster to be reflown after being recovered from a GTO launch. THAICOM 8 was delivered to a supersynchronous transfer orbit of 91,000 km (57,000 mi).;
F9-026;26;15 June 2016 14:29;F9 FT  B1024;Cape Canaveral , SLC‑40;ABS-2A  Eutelsat 117 West B;3,600 kg (7,900 lb);GTO;ABS  Eutelsat;Success;Failure (drone ship);One year after pioneering this technique on Flight 16, Falcon again launched two  Boeing 702SP  gridded ion thruster satellites at 1,800 kg (4,000 lb) each, in a dual-stack configuration, with the two customers sharing the rocket and mission costs. First-stage landing attempt on drone ship failed due to low thrust on one of the three landing engines; a sub-optimal path led to the stage running out of propellant just above the deck of the landing ship, slamming to the drone ship, breaking a leg, and falling over.;
F9-027;27;18 July 2016 04:45;F9 FT  B1025.1;Cape Canaveral , SLC‑40;SpaceX CRS-9 (Dragon C111.1);2,257 kg (4,976 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Success (ground pad);Cargo to ISS included an  International Docking Adapter (IDA-2) and total payload with reusable Dragon Capsule was 6,457 kg (14,235 lb). Second successful first-stage landing on a ground pad.;
F9-028;28;14 August 2016 05:26;F9 FT  B1026;Cape Canaveral , SLC‑40;JCSAT-16;4,600 kg (10,100 lb);GTO;SKY Perfect JSAT Group;Success;Success (drone ship);First attempt to land from a ballistic trajectory using a single-engine landing burn, as all previous landings from a ballistic trajectory had fired three engines on the final burn. The latter provides more braking force but subjects the vehicle to greater structural stresses, while the single-engine landing burn takes more time and fuel while allowing more time during final descent for corrections.;
AMOS-6;N/A;3 September 2016 07:00;F9  FT B1028;Cape Canaveral , SLC‑40;AMOS-6;5,500 kg (12,100 lb);GTO;Spacecom;Precluded (pre-flight failure);Precluded;The rocket and the AMOS-6 payload were lost in a launch pad explosion on 1 September 2016, during propellant filling procedures before a  static fire test. The pad was clear of personnel, and there were no injuries. SpaceX released an official statement in January 2017, indicating that the cause of the failure was a buckled liner in several of the composite overwrapped pressure vessel (COPV) (used to store helium which pressurizes the stage's propellant tanks), causing perforations that allowed liquid and/or solid oxygen to accumulate underneath the lining, which was ignited by friction. Following the explosion, SpaceX has switched to performing static fire tests only without attached payloads. ( more details );
F9-029;29;14 January 2017 17:54;F9 FT  B1029.1;Vandenberg , SLC‑4E;Iridium NEXT -1 (10 satellites);9,600 kg (21,200 lb);Polar  LEO;Iridium Communications;Success;Success (drone ship);Return-to-flight mission after the loss of  AMOS-6 in September 2016. This was the first launch of a series of Iridium NEXT satellites intended to replace the original Iridium constellation launched in the late 1990s. Each Falcon 9 mission carried 10 satellites, with a goal of 66 plus 9 spare satellites constellation by mid-2018. Following the delayed launch of the first two Iridium units with a Dnepr rocket from April 2016, Iridium Communications decided to launch the first batch of 10 satellites with SpaceX instead. Payload comprised ten satellites weighing 860 kg (1,900 lb) each plus a 1,000 kg (2,200 lb) dispenser.;
F9-030;30;19 February 2017 14:39;F9 FT  B1031.1;Kennedy , LC‑39A;SpaceX CRS-10 (Dragon C112.1);2,490 kg (5,490 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Success (ground pad);First Falcon 9 flight from the historic  LC-39A launchpad at Kennedy Space Center , and first uncrewed launch from LC-39A since Skylab-1 . The flight carried supplies and materials to support ISS Expeditions 50 and 51 , and third return of first stage booster to landing pad at Cape Canaveral  Landing Zone 1 .;
F9-031;31;16 March 2017 06:00;F9 FT  B1030;Kennedy , LC‑39A;EchoStar 23;5,600 kg (12,300 lb);GTO;EchoStar;Success;No attempt;First uncrewed non-station launch from LC-39A since  Apollo 6 . Launched a communications satellite for broadcast services over Brazil . Due to the payload size launch into a GTO, the booster was expended into the Atlantic Ocean and did not feature landing legs and grid fins.;
F9-032;32;30 March 2017 22:27;F9 FT B1021.2  REUSE;Kennedy , LC‑39A;SES-10;5,300 kg (11,700 lb);GTO;SES;Success;Success (drone ship);First payload to fly on a reused first stage, B1021, previously launched with  CRS-8 , and first to land intact a second time. Additionally, this flight was the first reused rocket to fly from LC-39A since STS-135 and for the first time the payload fairing , used to protect the payload during launch, remained intact after a successful splashdown achieved with thrusters and a steerable parachute. ( more details );
F9-033;33;1 May 2017 11:15;F9 FT  B1032.1;Kennedy , LC‑39A;NROL-76;Classified;LEO;NRO;Success;Success (ground pad);First launch under SpaceX's 2015, certification for national security space missions, which allowed SpaceX to contract launch services for classified payloads, and thus breaking the monopoly United Launch Alliance (ULA) held on classified launches since 2006. For the first time, SpaceX offered continuous livestream of first stage booster from liftoff to landing, but omitted second-stage speed and altitude telemetry.;
F9-034;34;15 May 2017 23:21;F9 FT  B1034.1;Kennedy , LC‑39A;Inmarsat-5 F4;6,070 kg (13,380 lb);GTO;Inmarsat;Success;No attempt;The launch was originally scheduled for the Falcon Heavy, but  performance improvements allowed the mission to be carried out by an expendable Falcon 9 instead. Inmarsat-5 F4 is Inmarsat's "largest and most complicated communications satellite ever built". Inmarsat 5 F4 was delivered into an arcing supersynchronous transfer orbit of 381 km × 68,839 km (237 mi × 42,775 mi) in altitude, tilted 24.5° to the equator .;
F9-035;35;3 June 2017 21:07;F9 FT  B1035.1;Kennedy , LC‑39A;SpaceX CRS-11 (Dragon C106.2 REUSE);2,708 kg (5,970 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Success (ground pad);This mission delivered  Neutron Star Interior Composition Explorer (NICER), Multiple User System for Earth Sensing Facility (MUSES),  Roll Out Solar Array (ROSA), an Advanced Plant Habitat to the ISS, and Birds-1 payloads. This mission launched for the first time a refurbished Dragon capsule, serial number C106 , which had flown in September 2014, on the SpaceX CRS-4 mission, and was the first time since 2011, a reused spacecraft arrived at the ISS. Five cubesats were included in the payload, the first satellites from the countries of Bangladesh ( BRAC Onnesha ), Ghana ( GhanaSat-1 ), and Mongolia ( Mazaalai ).;
F9-036;36;23 June 2017 19:10;F9 FT B1029.2  REUSE;Kennedy , LC‑39A;BulgariaSat-1;3,669 kg (8,089 lb);GTO;Bulsatcom;Success;Success (drone ship);Second time a booster was reused, as  B1029 had flown the Iridium mission in January 2017. This was the first commercial Bulgarian-owned communications satellite.;
F9-037;37;25 June 2017 20:25;F9 FT  B1036.1;Vandenberg , SLC‑4E;Iridium NEXT -2 (10 satellites);9,600 kg (21,200 lb);LEO;Iridium Communications;Success;Success (drone ship);Second Iridium constellation launch of 10 satellites, and first flight using  titanium (instead of aluminium ) grid fins to improve control authority and better cope with heat during re-entry.;
F9-038;38;5 July 2017 23:38;F9 FT  B1037.1;Kennedy , LC‑39A;Intelsat 35e;6,761 kg (14,905 lb);GTO;Intelsat;Success;No attempt;Originally expected to be flown on a  Falcon Heavy , improvements to the Merlin engines meant that the heavy satellite could be flown to GTO in an expendable configuration of Falcon 9. The rocket achieved a supersynchronous orbit peaking at 43,000 km (27,000 mi), exceeding the minimum requirements of 28,000 km (17,000 mi). Intelsat 35e is the largest Intelsat's currently active satellite.;
F9-039;39;14 August 2017 16:31;F9 B4  B1039.1;Kennedy , LC‑39A;SpaceX CRS-12 (Dragon C113.1);3,310 kg (7,300 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Success (ground pad);Dragon carried 2,349 kg (5,179 lb) of pressurized and 961 kg (2,119 lb) unpressurized mass, including the  Cosmic Ray Energetics and Mass Experiment (CREAM) detector. First flight of the upgrade known informally as "Block 4", which increases thrust from the main engines and includes other small upgrades, and last flight of a newly built Dragon capsule, as further missions are planned to use refurbished spacecraft. Also launched the Educational Launch of Nanosatellites ELaNa 22 mission.;
F9-040;40;24 August 2017 18:51;F9 FT  B1038.1;Vandenberg , SLC‑4E;Formosat-5;475 kg (1,047 lb);SSO;NSPO;Success;Success (drone ship);First  Earth observation satellite developed and constructed by Taiwan . The payload was much under the rocket's specifications, as the Spaceflight Industries  SHERPA  space tug had been removed from the cargo manifest of this mission, leading to analyst speculations that with discounts due to delays, SpaceX lost money on the launch.;
F9-041;41;7 September 2017 14:00;F9 B4  B1040.1;Kennedy , LC‑39A;Boeing X-37B  OTV-5;4,990 kg (11,000 lb) + OTV payload;LEO;USAF;Success;Success (ground pad);Due to the classified nature of the mission, the second-stage speed and altitude telemetry were omitted from the launch webcast. It was the third flight of second X-37B. It was fastest turnaround of a X-37B by 2nd X-37B at 123 days. Notably, the primary contractor,  Boeing , had launched the X-37B with ULA, a Boeing partnership and a SpaceX competitor. Second flight of the Falcon 9 Block 4 upgrade.;
F9-042;42;9 October 2017 12:37;F9 B4  B1041.1;Vandenberg , SLC‑4E;Iridium NEXT -3 (10 satellites);9,600 kg (21,200 lb);Polar  LEO;Iridium Communications;Success;Success (drone ship);Third flight of the  Falcon 9 Block 4 upgrade, and the third launch of 10 Iridium NEXT satellites.;
F9-043;43;11 October 2017 22:53:00;F9 FT B1031.2  REUSE;Kennedy , LC‑39A;SES-11 / EchoStar 105;5,400 kg (11,900 lb);GTO;SES S.A.  EchoStar;Success;Success (drone ship);Third reuse and recovery of a previously flown first-stage booster, and the second time the contractor SES used a reflown booster. The large satellite is shared, in " CondoSat " arrangement between SES and EchoStar .;
F9-044;44;30 October 2017 19:34;F9 B4  B1042.1;Kennedy , LC‑39A;Koreasat 5A;3,500 kg (7,700 lb);GTO;KT Corporation;Success;Success (drone ship);First SpaceX launch of a South Korean satellite, placed in GEO at 113.0° east. It was the third launch and land for SpaceX in three weeks, and the 15th successful landing in a row. A small fire was observed under the booster after it landed, leading to speculations about damages to the engines which would preclude it from flying it again.;
F9-045;45;15 December 2017 15:36;F9 FT B1035.2  REUSE;Cape Canaveral , SLC‑40;SpaceX CRS-13 (Dragon C108.2 REUSE);2,205 kg (4,861 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;Success (ground pad);First launch to take place at the refurbished pad at Cape Canaveral after the 2016,  AMOS-6 explosion, and the 20th successful booster landing. Being the second reuse of a Dragon capsule (previously flown on SpaceX CRS-6 ) and fourth reuse of a booster (previously flown on SpaceX CRS-11 ) it was the first time both major components were reused on the same flight.;
F9-046;46;23 December 2017 01:27;F9 FT B1036.2  REUSE;Vandenberg , SLC‑4E;Iridium NEXT -4 (10 satellites);9,600 kg (21,200 lb);Polar  LEO;Iridium Communications;Success;Controlled (ocean);In order to avoid delays and convinced of no increased risks, Iridium Communications accepted the use of a recovered booster for its 10 satellites, and became the first customer to fly the same first-stage booster twice (from the second Iridium NEXT mission). SpaceX chose not to attempt recovery of the booster, but did perform a soft ocean touchdown.;
F9-047;47;8 January 2018 01:00;F9 B4  B1043.1;Cape Canaveral , SLC‑40;Zuma;Classified;LEO;Northrop Grumman;Success;Success (ground pad);The mission had been postponed by nearly two months. Following a nominal launch, the recovery of the first-stage booster marked the 17th successful recovery in a row. Rumors appeared that the payload was lost, as the satellite might have failed to separate from the second stage due to a fault in the Northrop Grumman-manufactured payload adapter, to which SpaceX announced that their rocket performed nominally. The classified nature of the mission means that there is little confirmed information. ( more details );
F9-048;48;31 January 2018 21:25;F9 FT B1032.2;Cape Canaveral , SLC‑40;GovSat-1 (SES-16);4,230 kg (9,330 lb);GTO;SES;Success;Controlled (ocean);Reused booster from the classified  NROL-76 mission in May 2017. Following a successful experimental soft ocean landing that used three engines, the booster unexpectedly remained intact. Despite initial talk about a potential recovery effort, the decision was instead made to intentionally destroy and sink the booster. GovSat-1 satellite was put into a high-energy Supersynchronous Transfer Orbit of 250 km × 51,500 km (160 mi × 32,000 mi).;
FH-001;FH 1;6 February 2018 20:45;Falcon Heavy B1033  (core) | B1023.2  (side) | B1025.2  (side);Kennedy , LC‑39A;Elon Musk's Tesla Roadster;~1,250 kg (2,760 lb);Heliocentric 0.99–1.67 AU (close to Mars transfer orbit );SpaceX;Success;Failure (drone ship) | Success (ground pad) | Success (ground pad);Maiden flight of  Falcon Heavy , using two recovered Falcon 9 cores as side boosters (from the Thaicom 8 and SpaceX CRS-9 missions), as well as a modified Block 3 booster reinforced to endure the additional load from the two side boosters. The static fire test, held on 24 January 2018, was the first time 27 engines were tested together. The launch was a success, and the side boosters landed simultaneously at adjacent ground pads. This was the first ever use of SpaceX Landing Zone 2 . Drone ship landing of the central core failed due to TEA – TEB chemical igniter running out, preventing two of its engines from restarting; the landing failure caused damage to the nearby drone ship. Final burn to heliocentric Earth-Mars orbit was performed after the second stage and payload cruised for 6 hours through the Van Allen radiation belts . Later, Elon Musk tweeted that the third burn was successful, and JPL Horizons On-Line Ephemeris System showed the second stage and payload in an orbit with an aphelion of 1.67 AU . The live webcast proved immensely popular, as it became the second most watched livestream so far on YouTube , reaching over 2.3 million concurrent views. Over 100,000 visitors are believed to have come to the Space Coast to watch the launch in person. ( more details );
F9-049;49;22 February 2018 14:17;F9 FT B1038.2;Vandenberg , SLC‑4E;Paz  Tintin A and Tintin B;2,150 kg (4,740 lb);SSO;Hisdesat  exactEarth  SpaceX;Success;No attempt;Last flight of a  Block 3 first stage. Reused the booster from the Formosat-5 mission. Paz (peace) is Spain's first spy satellite that will be operated in a constellation with the German SAR fleet TSX and TDX . In addition, the rocket carried two SpaceX test satellites for their forthcoming communications network in low Earth orbit . This core flew without landing legs and was expended at sea. It also featured an upgraded payload fairing 2.0 with a first recovery attempt using the Mr. Steven crew boat equipped with a net. The fairing narrowly missed the boat, but achieved a soft water landing.;
F9-050;50;6 March 2018 05:33;F9 B4 B1044.1;Cape Canaveral , SLC‑40;Hispasat 30W-6  PODSat;6,092 kg (13,431 lb);GTO;Hispasat  NovaWurks;Success;Controlled (ocean);The Spanish commsat was the largest satellite yet flown by SpaceX, "nearly the size of a bus". A drone ship landing was planned, but scrapped due to unfavorable weather conditions. After stage separation, the first stage booster successfully conducted an ocean landing in the Atlantic Ocean. SpaceX left the landing legs and titanium grid fins in place to prevent further delays, after previous concerns with the fairing pressurization and conflicts with the Atlas V launch of GOES-S . The Hispasat 30W-6 satellite was propelled into a supersynchronous transfer orbit .;
F9-051;51;30 March 2018 14:14;F9 B4 B1041.2;Vandenberg , SLC‑4E;Iridium NEXT -5 (10 satellites);9,600 kg (21,200 lb);Polar  LEO;Iridium Communications;Success;No attempt;Fifth Iridium NEXT mission launch of 10 satellites used the refurbished booster from third Iridium flight. As with recent reflown boosters, SpaceX used the controlled descent of the first stage to test more booster recovery options. SpaceX planned a second recovery attempt of one half of the fairing using the specially modified boat Mr. Steven , but the parafoil twisted, which led to the fairing half missing the boat.;
F9-052;52;2 April 2018 20:30;F9 B4 B1039.2;Cape Canaveral , SLC‑40;SpaceX CRS-14 (Dragon C110.2);2,647 kg (5,836 lb) (excl. Dragon mass);LEO ( ISS );NASA ( CRS );Success;No attempt;The launch used a refurbished booster (from  CRS-12 ) and a refurbished capsule (C110 from CRS-8 ). External payloads include a materials research platform Materials International Space Station Experiment (MISSE-FF) phase 3 of the Robotic Refueling Mission (RRM) TSIS, ASIM heliophysics sensor, several crystallization experiments, and the RemoveDEBRIS system aimed at space debris removal. The booster was expended, and SpaceX collected more data on reentry profiles. It also carried the first Costa Rican satellite, Project Irazú , and the first Kenyan satellite, 1KUNS-PF .;
F9-053;53;18 April 2018 22:51;F9 B4  B1045.1;Cape Canaveral , SLC‑40;Transiting Exoplanet Survey Satellite (TESS);362 kg (798 lb);HEO for P/2 orbit;NASA ( LSP );Success;Success (drone ship);First NASA high-priority science mission launched by SpaceX. Part of the  Explorers program , TESS is space telescope intended for wide-field search of exoplanets transiting nearby stars. It was the first time SpaceX launched a scientific satellite which wasn't designed to focus on Earth observations . The second stage placed the spacecraft into a high elliptical Earth orbit, after which the satellite performed its own maneuvers, including a lunar flyby, such that over the course of two months it reached a stable 2:1 resonant orbit with the Moon. In January 2018, SpaceX received NASA's Launch Services Program Category 2 certification of its Falcon 9 "Full Thrust", certification which is required for launching "medium-risk" missions like TESS. Last launch of a new Block 4 booster, and the 24th successful recovery of the first stage. An experimental water landing of the launch fairing was performed in order to attempt fairing recovery, primarily as a test of parachute systems.;
